Pos,ID,Name,BV,SV,Team,37_xMins,38_xMins,37_eo,38_eo
M,491,Tonali,5.3,5.3,Newcastle,80.40,80.40,0.00,0.00
M,493,Longstaff,4.8,4.8,Leeds United,31.95,12.75,0.00,0.00
M,494,Willock,5.0,5.0,Newcastle,52.80,52.80,0.00,0.00
M,497,L.Miley,4.4,4.4,Newcastle,0.00,0.00,0.00,0.00
F,499,Isak,10.3,10.3,Liverpool,63.15,65.70,0.00,0.00
F,500,Osula,5.4,5.4,Newcastle,70.35,70.35,0.00,0.00
F,501,Neave,4.3,4.3,Newcastle,0.30,0.30,0.00,0.00
G,502,Sels,4.6,4.6,Nott'm Forest,88.20,88.20,0.01,0.01
D,505,Milenković,5.1,5.1,Nott'm Forest,87.45,87.45,0.00,0.01
D,506,Murillo,5.2,5.2,Nott'm Forest,36.30,36.30,0.00,0.00
D,507,Aina,4.7,4.7,Nott'm Forest,54.60,54.60,0.00,0.00
D,508,N.Williams,4.8,4.8,Nott'm Forest,83.10,83.10,0.00,0.00
D,510,Jair Cunha,4.2,4.2,Nott'm Forest,35.70,35.70,0.00,0.00
D,511,Morato,4.3,4.3,Nott'm Forest,36.30,36.30,0.00,0.00
D,513,Abbott,3.8,3.8,Nott'm Forest,0.00,0.00,0.00,0.00
D,514,Boly,3.8,3.8,Nott'm Forest,0.60,0.60,0.00,0.00
M,515,Gibbs-White,7.5,7.5,Nott'm Forest,63.90,63.90,0.00,0.00
M,516,Hudson-Odoi,5.7,5.7,Nott'm Forest,0.00,0.00,0.00,0.00
M,517,Anderson,5.6,5.6,Nott'm Forest,83.25,83.25,0.11,0.15
M,519,Dominguez,5.0,5.0,Nott'm Forest,46.50,46.50,0.00,0.00
M,521,Sangaré,4.9,4.9,Nott'm Forest,82.95,82.95,0.00,0.00
M,522,Yates,4.7,4.7,Nott'm Forest,18.75,18.75,0.00,0.00
M,523,Da Silva Moreira,4.5,4.5,Nott'm Forest,0.60,0.60,0.00,0.00
F,525,Wood,7.1,7.1,Nott'm Forest,35.10,35.10,0.00,0.00
F,526,Igor Jesus,5.9,5.9,Nott'm Forest,65.40,65.40,0.00,0.00
F,527,Awoniyi,5.2,5.2,Nott'm Forest,36.90,36.90,0.00,0.00
G,529,Moore,3.9,3.9,Sunderland,0.00,0.00,0.00,0.00
D,531,Ballard,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00
D,532,Hume,4.5,4.5,Sunderland,76.50,76.50,0.00,0.00
D,535,Cirkin,4.0,4.0,Sunderland,6.90,6.90,0.00,0.00
D,539,O'Nien,4.0,4.0,Sunderland,18.30,18.30,0.00,0.00
D,541,Reinildo,3.8,3.8,Sunderland,77.85,77.85,0.00,0.00
M,544,Diarra,5.3,5.3,Sunderland,44.85,44.85,0.00,0.00
M,546,Aleksić,4.9,4.9,Sunderland,0.90,0.90,0.00,0.00
M,547,E.Le Fée,4.8,4.8,Sunderland,84.75,84.75,0.01,0.02
M,548,Mundle,4.9,4.9,Sunderland,0.00,0.00,0.00,0.00
M,550,Poveda,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00
M,551,Rigg,4.7,4.7,Sunderland,13.35,13.35,0.00,0.00
M,552,Sadiki,4.9,4.9,Sunderland,84.75,84.75,0.00,0.00
M,553,Talbi,4.9,4.9,Sunderland,65.10,65.10,0.00,0.00
M,554,Ba,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00
F,560,Isidor,5.0,5.0,Sunderland,15.45,15.45,0.00,0.00
F,561,Mayenda,5.1,5.1,Sunderland,9.75,9.75,0.00,0.00
F,562,Abdullahi,4.2,4.2,Sunderland,0.60,0.60,0.00,0.00
G,565,Vicario,4.7,4.7,Spurs,72.00,72.00,0.00,0.00
G,566,Austin,3.9,3.9,Spurs,0.00,0.00,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,18.00,18.00,0.00,0.00
D,568,Pedro Porro,5.2,5.2,Spurs,84.90,84.90,0.01,0.06
D,569,Romero,5.0,5.0,Spurs,0.00,0.00,0.00,0.00
D,570,Danso,4.2,4.2,Spurs,81.60,81.60,0.00,0.03
D,571,Davies,4.3,4.3,Spurs,0.00,0.00,0.00,0.00
D,572,Dragusin,4.5,4.5,Spurs,8.55,8.55,0.00,0.00
D,573,Spence,4.1,4.1,Spurs,34.95,34.95,0.00,0.00
D,574,Udogie,4.3,4.3,Spurs,68.40,68.40,0.00,0.00
D,575,Van de Ven,4.4,4.4,Spurs,86.70,86.70,0.00,0.06
M,580,Johnson,6.5,6.5,Crystal Palace,55.50,55.50,0.00,0.00
M,581,Maddison,6.8,6.8,Spurs,3.00,3.00,0.00,0.00
M,582,Kudus,6.4,6.4,Spurs,0.00,0.00,0.00,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0.00,0.00,0.00,0.00
M,584,Tel,6.2,6.2,Spurs,67.50,67.50,0.00,0.00
M,585,Bentancur,5.2,5.2,Spurs,73.05,73.05,0.00,0.00
M,586,Bergvall,5.2,5.2,Spurs,41.70,41.70,0.00,0.00
M,587,Bissouma,5.2,5.2,Spurs,56.40,56.40,0.00,0.00
M,588,Odobert,5.3,5.3,Spurs,0.00,0.00,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,21.75,21.75,0.00,0.00
M,593,P.M.Sarr,4.5,4.5,Spurs,25.35,25.35,0.00,0.00
M,595,Olusesi,4.3,4.3,Spurs,0.30,0.30,0.00,0.00
F,596,Solanke,7.1,7.1,Spurs,0.00,0.00,0.00,0.00
F,597,Richarlison,6.4,6.4,Spurs,44.70,44.70,0.00,0.00
G,600,Areola,4.2,4.2,West Ham,0.90,0.90,0.00,0.00
D,603,Diouf,4.1,4.1,West Ham,84.75,84.75,0.00,0.02
D,605,Kilman,4.1,4.1,West Ham,3.00,3.00,0.00,0.00
D,606,Mavropanos,4.5,4.5,West Ham,84.75,84.75,0.02,0.08
D,608,Scarles,4.3,4.3,West Ham,7.35,7.35,0.00,0.00
D,609,Todibo,4.3,4.3,West Ham,15.75,15.75,0.00,0.00
D,610,Wan-Bissaka,4.1,4.1,West Ham,21.30,21.30,0.00,0.00
M,613,Souček,5.7,5.7,West Ham,78.45,78.45,0.00,0.00
M,614,Ward-Prowse,5.6,5.6,Burnley,56.40,56.40,0.00,0.00
M,615,Summerville,5.4,5.4,West Ham,80.55,80.55,0.01,0.02
M,623,Potts,4.3,4.3,West Ham,12.60,12.60,0.00,0.00
F,624,Bowen,7.7,7.7,West Ham,87.60,87.60,0.19,0.25
G,627,Johnstone,4.4,4.4,Wolves,0.00,0.00,0.00,0.00
G,628,José Sá,4.2,4.2,Wolves,13.50,13.50,0.00,0.00
G,629,Bentley,3.9,3.9,Wolves,76.50,76.50,0.00,0.01
G,630,King,3.9,3.9,Everton,0.00,0.00,0.00,0.00
D,632,Doherty,4.4,4.4,Wolves,12.45,12.45,0.00,0.00
D,633,H.Bueno,4.3,4.3,Wolves,77.55,77.55,0.00,0.00
D,634,Mosquera,4.3,4.3,Wolves,81.00,81.00,0.00,0.00
D,635,R.Gomes,4.4,4.4,Wolves,30.60,30.60,0.00,0.00
D,636,S.Bueno,4.4,4.4,Wolves,83.85,83.85,0.00,0.00
D,637,Toti,4.2,4.2,Wolves,72.00,72.00,0.00,0.00
D,640,Pedro Lima,4.0,4.0,Wolves,66.60,66.60,0.00,0.00
M,642,Hee Chan,5.6,5.6,Wolves,35.25,35.25,0.00,0.00
M,643,André,5.2,5.2,Wolves,81.90,81.90,0.00,0.00
M,644,Bellegarde,5.1,5.1,Wolves,40.35,40.35,0.00,0.00
M,646,J.Gomes,5.3,5.3,Wolves,81.90,81.90,0.00,0.00
M,651,Edozie,4.3,4.3,Wolves,0.00,0.00,0.00,0.00
M,652,Gonzalez,4.3,4.3,Wolves,0.60,0.60,0.00,0.00
F,654,Strand Larsen,5.9,5.9,Crystal Palace,62.40,62.40,0.00,0.00
F,657,Chiwome,4.4,4.4,Wolves,0.00,0.00,0.00,0.00
F,658,Fraser,4.2,4.2,Wolves,0.30,0.30,0.00,0.00
D,659,Walker-Peters,4.2,4.2,West Ham,77.70,77.70,0.00,0.00
M,660,Stach,4.8,4.8,Leeds United,80.70,80.70,0.02,0.03
F,661,Ekitiké,9.0,9.0,Liverpool,0.00,0.00,0.00,0.00
D,662,Mosquera,5.3,5.3,Arsenal,75.75,57.00,0.00,0.00
G,664,Lecomte,3.9,3.9,Fulham,0.90,0.90,0.00,0.00
G,665,Perri,4.4,4.4,Leeds United,0.90,0.90,0.00,0.00
F,666,Gyökeres,9.0,9.0,Arsenal,78.45,67.80,0.24,0.02
D,667,Aznou,4.2,4.2,Everton,0.30,0.30,0.00,0.00
M,668,Xhaka,5.1,5.1,Sunderland,83.25,83.25,0.00,0.00
M,669,Ndoye,5.5,5.5,Nott'm Forest,21.45,21.45,0.00,0.00
G,670,Roefs,4.8,4.8,Sunderland,89.10,89.10,0.02,0.09
F,671,Wilson,5.8,5.8,West Ham,23.85,23.85,0.00,0.00
D,672,Hato,4.6,4.6,Chelsea,64.20,29.10,0.00,0.00
M,673,J.Palhinha,5.5,5.5,Spurs,30.75,30.75,0.00,0.00
G,674,Ramsdale,4.8,4.8,Newcastle,9.00,9.00,0.00,0.00
G,675,Gunn,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00
M,676,Ugochukwu,5.0,5.0,Burnley,63.90,63.90,0.00,0.00
M,677,Guessand,6.2,6.2,Crystal Palace,0.00,0.00,0.00,0.00
G,679,Hermansen,4.2,4.2,West Ham,89.10,89.10,0.02,0.01
F,680,Broja,5.2,5.2,Burnley,15.30,15.30,0.00,0.00
F,681,Šeško,7.3,7.3,Man Utd,55.05,55.05,0.00,0.00
D,682,Møller Wolfe,4.2,4.2,Wolves,8.40,8.40,0.00,0.00
D,683,Alderete,4.1,4.1,Sunderland,83.85,83.85,0.02,0.03
D,684,Thiaw,4.9,4.9,Newcastle,84.75,84.75,0.01,0.06
D,685,Diakité,4.1,4.1,Bournemouth,9.90,9.90,0.00,0.00
M,686,Ngumoha,4.3,4.3,Liverpool,30.60,23.70,0.00,0.00
M,687,Rees-Dottin,4.3,4.3,Bournemouth,0.00,0.00,0.00,0.00
G,688,Wright,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00
M,689,Seung soo,4.3,4.3,Newcastle,0.30,0.30,0.00,0.00
M,690,Cardines,4.4,4.4,Crystal Palace,1.20,1.20,0.00,0.00
F,691,Calvert-Lewin,5.8,5.8,Leeds United,81.90,81.90,0.28,0.30
D,692,Leoni,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00
M,693,Hutchinson,5.4,5.4,Nott'm Forest,33.30,33.30,0.00,0.00
D,694,Mukiele,4.6,4.6,Sunderland,84.45,84.45,0.00,0.02
D,695,Tchatchoua,4.4,4.4,Wolves,7.35,7.35,0.00,0.00
M,697,Adli,5.4,5.4,Bournemouth,21.15,21.15,0.00,0.00
M,698,Okafor,5.6,5.6,Leeds United,0.00,62.10,0.00,0.01
M,699,Douglas Luiz,4.9,4.9,Aston Villa,18.00,18.00,0.00,0.00
M,700,Dowman,4.2,4.2,Arsenal,8.10,8.10,0.00,0.00
M,702,Burrowes,4.3,4.3,Aston Villa,0.90,0.90,0.00,0.00
G,703,Proctor,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00
D,706,Justin,4.0,4.0,Leeds United,80.25,80.25,0.00,0.04
M,707,Dibling,5.3,5.3,Everton,12.45,12.45,0.00,0.00
M,708,M.Fernandes,5.5,5.5,West Ham,83.25,83.25,0.01,0.00
D,709,Krejčí,4.5,4.5,Wolves,36.45,36.45,0.00,0.00
D,710,Patterson,3.9,3.9,Aston Villa,0.30,0.30,0.00,0.00
M,711,Harriman-Annous,4.4,4.4,Arsenal,0.30,0.30,0.00,0.00
M,712,Yeremy,5.8,5.8,Crystal Palace,52.65,52.65,0.00,0.00
D,713,A.Jimenez,4.5,4.5,Bournemouth,0.00,0.00,0.00,0.00
F,714,Woltemade,6.7,6.7,Newcastle,24.30,24.30,0.00,0.00
G,715,John,4.0,4.0,Nott'm Forest,0.30,0.30,0.00,0.00
D,716,Savona,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00
M,717,Xavi,6.4,6.4,Spurs,0.00,0.00,0.00,0.00
M,718,S.Magassa,5.0,5.0,West Ham,23.40,23.40,0.00,0.00
D,719,Lindelöf,4.5,4.5,Aston Villa,58.65,58.65,0.00,0.00
F,720,Tolu,5.2,5.2,Wolves,38.70,38.70,0.00,0.00
D,721,Milosavljević,4.4,4.4,Bournemouth,7.05,7.05,0.00,0.00
M,722,Florentino,5.0,5.0,Burnley,34.95,34.95,0.00,0.00
D,723,Canvot,4.5,4.5,Crystal Palace,78.60,78.60,0.00,0.01
D,724,Geertruida,4.5,4.5,Sunderland,73.95,73.95,0.00,0.00
D,725,Hincapie,5.1,5.1,Arsenal,52.50,28.05,0.00,0.00
F,726,Kolo Muani,6.9,6.9,Spurs,69.15,69.15,0.00,0.00
M,727,Chukwueze,5.3,5.3,Fulham,66.60,66.60,0.00,0.00
M,728,Röhl,5.0,5.0,Everton,63.75,63.75,0.00,0.00
F,730,Brobbey,5.3,5.3,Sunderland,79.35,79.35,0.00,0.01
M,731,Kevin,5.7,5.7,Fulham,0.00,0.00,0.00,0.00
F,732,Uche,5.5,5.5,Crystal Palace,5.70,5.70,0.00,0.00
G,733,Lammens,5.1,5.1,Man Utd,89.10,89.10,0.03,0.01
M,734,Bakwa,5.9,5.9,Nott'm Forest,65.10,65.10,0.00,0.00
M,735,Traoré,5.5,5.5,Sunderland,13.95,13.95,0.00,0.00
G,736,Donnarumma,5.6,5.6,Man City,88.20,88.20,0.10,0.07
F,737,Kusi-Asare,4.5,4.5,Fulham,3.00,3.00,0.00,0.00
G,738,Fabianski,4.5,4.5,West Ham,0.00,0.00,0.00,0.00
M,742,McAidoo,4.5,4.5,Man City,0.30,0.30,0.00,0.00
M,743,Emenalo,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00
M,744,Oriola,4.5,4.5,Brighton,0.00,0.00,0.00,0.00
D,745,Byfield,4.0,4.0,Spurs,0.00,0.00,0.00,0.00
M,746,Morrison,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00
D,747,Mayers,4.0,4.0,West Ham,1.50,1.50,0.00,0.00
M,748,Dasilva,4.9,4.9,Brentford,9.00,9.00,0.00,0.00
F,749,Mané,4.2,4.2,Wolves,68.85,68.85,0.00,0.00
D,750,Rowswell,4.0,4.0,Spurs,0.00,0.00,0.00,0.00
D,752,Golambeckis,4.0,4.0,West Ham,0.00,0.00,0.00,0.00
G,753,Ruddy,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00
M,754,George Hemmings,4.5,4.5,Aston Villa,1.50,1.50,0.00,0.00
M,755,Lacey,4.5,4.5,Man Utd,1.50,1.50,0.00,0.00
M,756,DaCosta,4.5,4.5,Bournemouth,0.30,0.30,0.00,0.00
G,757,Hollingshead,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00
M,758,Mohamadou Kanté,4.5,4.5,West Ham,6.00,6.00,0.00,0.00
D,759,Salmon,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00
D,760,Lucky,4.0,4.0,Liverpool,0.30,0.30,0.00,0.00
D,761,Simmonds,4.0,4.0,Brighton,0.30,0.30,0.00,0.00
M,762,Drakes-Thomas,4.5,4.5,Crystal Palace,1.20,1.20,0.00,0.00
M,763,Gray,4.5,4.5,Man City,0.30,0.30,0.00,0.00
M,764,Heskey,4.5,4.5,Man City,0.30,0.30,0.00,0.00
D,765,Shahar,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00
D,766,Olagunju,4.0,4.0,Wolves,0.30,0.30,0.00,0.00
M,767,Rawlings,4.5,4.5,Wolves,0.00,0.00,0.00,0.00
D,768,Leon Routh,4.0,4.0,Aston Villa,0.30,0.30,0.00,0.00
M,769,Bendito Mantato,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00
M,770,Ridgeon,4.5,4.5,Fulham,0.30,0.30,0.00,0.00
M,771,Fletcher,4.4,4.4,Man Utd,0.30,0.30,0.00,0.00
M,772,Alabi,4.5,4.5,Newcastle,0.00,0.00,0.00,0.00
D,773,Benamar,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00
D,774,Jenson Jones,4.0,4.0,Sunderland,0.00,0.00,0.00,0.00
M,776,Pimlott,4.5,4.5,Burnley,0.00,0.00,0.00,0.00
M,778,Sutherland,4.5,4.5,Wolves,0.00,0.00,0.00,0.00
F,779,Graham,4.5,4.5,Everton,0.00,0.00,0.00,0.00
F,780,Casey,4.5,4.5,Crystal Palace,0.30,0.30,0.00,0.00
D,781,Carroll,4.0,4.0,Aston Villa,0.30,0.30,0.00,0.00
G,782,Forster,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00
M,783,Groß,5.6,5.6,Brighton,85.35,85.35,0.12,0.13
M,784,Brierley,4.5,4.5,Burnley,0.00,0.00,0.00,0.00
F,785,Pablo,5.4,5.4,West Ham,67.80,67.80,0.00,0.00
G,786,McNally,4.0,4.0,Fulham,0.00,0.00,0.00,0.00
M,787,Chambers,4.4,4.4,Leeds United,0.00,0.00,0.00,0.00
D,788,Kukonki,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00
G,789,Merrick,4.0,4.0,Chelsea,0.00,0.00,0.00,0.00
M,790,Williams-Barnett,4.5,4.5,Spurs,0.00,0.00,0.00,0.00
F,791,Taty,5.5,5.5,West Ham,76.20,76.20,0.00,0.00
M,792,Alysson,5.0,5.0,Aston Villa,9.75,9.75,0.00,0.00
D,793,King,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00
D,794,Alleyne,3.9,3.9,Man City,0.00,0.00,0.00,0.00
M,795,Howell,4.5,4.5,Brighton,3.75,3.75,0.00,0.00
M,796,Gallagher,5.0,5.0,Spurs,78.45,78.45,0.00,0.00
F,797,Furo,4.5,4.5,Brentford,6.00,6.00,0.00,0.00
M,799,Stevens,4.5,4.5,Bournemouth,0.30,0.30,0.00,0.00
M,800,Jocelin.T,4.9,4.9,Sunderland,13.80,13.80,0.00,0.00
M,801,Tóth.A,4.9,4.9,Bournemouth,15.60,15.60,0.00,0.00
M,802,Lamadrid,5.0,5.0,West Ham,1.50,1.50,0.00,0.00
G,803,Sharman-Lowe,4.0,4.0,Chelsea,0.00,0.00,0.00,0.00
D,804,Souza,4.0,4.0,Spurs,1.50,1.50,0.00,0.00
F,805,Lucca,5.3,5.3,Nott'm Forest,18.00,18.00,0.00,0.00
G,806,Mandas,4.0,4.0,Bournemouth,0.90,0.90,0.00,0.00
M,807,Rayan,5.4,5.4,Bournemouth,71.40,71.40,0.00,0.01
F,808,Abraham,5.8,5.8,Aston Villa,23.70,23.70,0.00,0.00
M,809,Abbey,4.5,4.5,Wolves,0.00,0.00,0.00,0.00
M,810,Bentt,4.5,4.5,Brentford,0.00,0.00,0.00,0.00
M,811,Kyerematen,4.5,4.5,Spurs,0.30,0.30,0.00,0.00
G,812,Ellborg,4.0,4.0,Sunderland,0.90,0.90,0.00,0.00
M,813,Angulo,5.0,5.0,Sunderland,13.35,13.35,0.00,0.00
D,814,Netz,4.5,4.5,Nott'm Forest,33.60,33.60,0.00,0.00
D,815,Disasi,4.5,4.5,West Ham,84.75,84.75,0.00,0.00
M,816,Angel,4.6,4.6,Wolves,41.85,41.85,0.00,0.00
F,817,Armstrong,5.2,5.2,Wolves,78.45,78.45,0.00,0.02
F,818,Wilson,4.5,4.5,Spurs,0.90,0.90,0.00,0.00
D,819,Shield,4.0,4.0,Brentford,0.00,0.00,0.00,0.00
M,820,McMahon-Brown,4.5,4.5,Burnley,0.00,0.00,0.00,0.00
M,821,Whittaker,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00
M,822,Jones,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00
D,823,Stephenson,4.0,4.0,Brentford,0.00,0.00,0.00,0.00
D,824,McManus,4.0,4.0,Brentford,0.00,0.00,0.00,0.00
G,825,Herrick,4.0,4.0,West Ham,0.00,0.00,0.00,0.00
M,826,Owen,4.5,4.5,Brentford,0.00,0.00,0.00,0.00
M,827,Thwaites,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00
G,828,Brooks,4.0,4.0,Wolves,0.00,0.00,0.00,0.00
M,829,Derry,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00
F,830,Wright,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00
G,831,Gracey,4.0,4.0,Wolves,0.00,0.00,0.00,0.00
D,832,Ndiaye,4.0,4.0,Liverpool,0.00,0.00,0.00,0.00
M,833,Eboué,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00
M,834,Kavuma-McQueen,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00
M,835,Whitehall,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00
M,836,Sinclair,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00
D,837,Lienou,4.0,4.0,Leeds United,0.00,0.00,0.00,0.00
M,838,Chadwick,4.5,4.5,Leeds United,0.00,0.00,0.00,0.00
